,Completed_Tasks,Active_Tasks,Psychological_Safety,Average_Knowledge
74,0,0,0.1146861158003265,3.0
75,0,0,0.10821526401099751,3.0
76,0,0,0.10174441222166852,3.0
77,0,0,0.09527356043233953,3.0
78,0,0,0.08880270864301054,3.0
79,0,0,0.08233185685368155,3.0
80,0,0,0.07586100506435256,3.0
81,0,0,0.06939015327502357,3.0
82,0,0,0.06291930148569458,3.0
83,0,0,0.056448449696365595,3.0
84,0,0,0.04997759790703661,3.0
85,0,0,0.04350674611770763,3.0
86,0,0,0.037035894328378643,3.0
87,0,0,0.030565042539049656,3.0
88,0,0,0.02409419074972067,3.0
89,0,0,0.01762333896039168,3.0
90,0,0,0.011152487171062694,3.0
91,0,0,0.004681635381733708,3.0
92,0,0,0.0,3.0
93,0,0,0.0,3.0
94,0,0,0.0,3.0
95,0,0,0.0,3.0
96,0,0,0.0,3.125
97,0,0,0.0,3.125
98,0,0,0.0,3.125
99,0,0,0.0,3.125
100,0,0,0.0,3.125
101,0,0,0.0,3.125
102,0,0,0.0,3.125
103,0,0,0.0,3.125
104,0,0,0.0,3.125
105,0,0,0.0,3.125
106,0,0,0.0,3.125
107,0,0,0.0,3.125
108,0,0,0.0,3.125
109,0,0,0.0,3.125
110,0,0,0.0,3.125
111,0,0,0.0,3.125
112,0,0,0.0,3.125
113,0,0,0.0,3.125
114,0,0,0.0,3.125
115,0,0,0.0,3.125
116,0,0,0.0,3.125
117,0,0,0.0,3.125
118,0,0,0.0,3.125
119,0,0,0.0,3.125
120,0,0,0.0,3.125
121,0,0,0.0,3.125
122,0,0,0.0,3.125
123,0,0,0.0,3.125
124,0,0,0.0,3.125
125,0,0,0.0,3.125
126,0,0,0.0,3.125
127,0,0,0.0,3.125
128,0,0,0.0,3.125
129,0,0,0.0,3.125
130,0,0,0.0,3.125
131,0,0,0.0,3.125
132,0,0,0.0,3.125
133,0,0,0.0,3.125
134,0,0,0.0,3.125
135,0,0,0.0,3.125
136,0,0,0.0,3.125
137,0,0,0.0,3.125
138,0,0,0.0,3.125
139,0,0,0.0,3.125
140,0,0,0.0,3.125
141,0,0,0.0,3.125
142,0,0,0.0,3.125
143,0,0,0.0,3.125
144,0,0,0.0,3.125
145,0,0,0.0,3.125
146,0,0,0.0,3.125
147,0,0,0.0,3.125
148,0,0,0.0,3.125
149,0,0,0.0,3.125
150,0,0,0.0,3.125
151,0,0,0.0,3.125
152,0,0,0.0,3.125
153,0,0,0.0,3.125
154,0,0,0.0,3.125
155,0,0,0.0,3.125
156,0,0,0.0,3.125
157,0,0,0.0,3.125
158,0,0,0.0,3.125
159,0,0,0.0,3.125
160,0,0,0.0,3.125
161,0,0,0.0,3.125
162,0,0,0.0,3.125
163,0,0,0.0,3.125
164,0,0,0.0,3.125
165,0,0,0.0,3.125
166,0,0,0.0,3.125
167,0,0,0.0,3.125
168,0,0,0.0,3.125
169,0,0,0.0,3.125
170,0,0,0.0,3.125
171,0,0,0.0,3.125
172,0,0,0.0,3.125
173,0,0,0.0,3.125
174,0,0,0.0,3.125
175,0,0,0.0,3.125
176,0,0,0.0,3.125
177,0,0,0.0,3.125
178,0,0,0.0,3.125
179,0,0,0.0,3.125
180,0,0,0.0,3.125
181,0,0,0.0,3.125
182,0,0,0.0,3.125
183,0,0,0.0,3.125
184,0,0,0.0,3.125
185,0,0,0.0,3.125
186,0,0,0.0,3.125
187,0,0,0.0,3.125
188,0,0,0.0,3.125
189,0,0,0.0,3.125
190,0,0,0.0,3.125
191,0,0,0.0,3.125
192,0,0,0.0,3.125
193,0,0,0.0,3.125
194,0,0,0.0,3.125
195,0,0,0.0,3.125
196,0,0,0.0,3.125
197,0,0,0.0,3.125
198,0,0,0.0,3.125
199,0,0,0.0,3.125
